offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
2316842074017646337	2018-02-11T00:00:00+03:00	2018-08-05T00:00:00+03:00	5580000.0	2	False	2	False	51.2	6.0	31.5		10.0	1	2	Россия, Санкт-Петербург, Будапештская улица, 5к2	6730428352580028055
8824874157824986117	2018-03-19T00:00:00+03:00	2018-05-29T00:00:00+03:00	4750000.0	5	False	1	False	44.4	9.7	18.9	0.0		1	2	Россия, Санкт-Петербург, улица Тельмана, 30к2	3135045530373777350
4914508509618625281	2016-03-26T00:00:00+03:00	2016-04-01T00:00:00+03:00	18000.0	5	False	1	False	36.0	10.0	28.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Туристская улица, 4к1	8387162957935720651
767157575721635944	2016-03-03T00:00:00+03:00	2016-03-16T00:00:00+03:00	7800000.0	10	False	2	False	60.0	11.0	35.0		0.0	1	2	Россия, Санкт-Петербург, улица Савушкина, 138	5166855161799096015
3784486627594553344	2018-08-02T00:00:00+03:00	2018-08-17T00:00:00+03:00	16000.0	2	False	1	False	42.0	11.0	20.0	90.0		2	2	Россия, Санкт-Петербург, улица Вавиловых, 13к2	2897087076890423757
4106647	2015-10-01T00:00:00+03:00	2016-11-08T00:00:00+03:00	5800000.0	4	False	2	False	59.1	10.7	32.8		11.0	1	2	Россия, Санкт-Петербург, улица Академика Лебедева, 21	2825831927125025469
47692232235298561	2016-04-21T00:00:00+03:00	2016-08-29T00:00:00+03:00	2330000.0	7	False	1	False	38.0	9.25	35.45		3.0	1	2	Россия, Ленинградская область, Всеволожск, микрорайон Южный, Московская улица, 22	896887618436242219
1483909646553106944	2018-01-16T00:00:00+03:00	2018-02-15T00:00:00+03:00	18000.0	11	False	1	False	42.0			50.0		2	2	Россия, Санкт-Петербург, улица Костюшко, 54	357662724425306428
9063468073575344129	2016-04-01T00:00:00+03:00	2016-04-14T00:00:00+03:00	40000.0	6	False	1	False	48.0	20.0	18.0	80.0	10.0	2	2	Россия, Санкт-Петербург, Центральный район, улица Марата, 47-49	5588058391062877455
3375339906935059598	2017-02-24T00:00:00+03:00	2017-02-25T00:00:00+03:00	27000.0	15	False	1	False	46.0			100.0	0.0	2	2	Россия, Санкт-Петербург, улица Шелгунова, 7к2	4224014818886931676
4346462773601104129	2018-03-23T00:00:00+03:00	2018-08-20T00:00:00+03:00	8500000.0	4	False	2	False	89.7	13.7	48.0			1	2	Россия, Санкт-Петербург, улица Черняховского, 52	7886635031986085434
6279147802400687753	2018-04-20T00:00:00+03:00	2018-08-13T00:00:00+03:00	6000000.0	10	False	1	False	46.0	13.0	20.0		11.0	1	2	Россия, Санкт-Петербург, Шуваловский проспект, 72к1	72812864710521576
